,Smiles,MTB Standardized Residuals,Scaffold
725,[N-]=[N+]=NC1=CC=CC(C2=CC=CC=C2)=C1,0.9919959171070528,c1ccc(-c2ccccc2)cc1
726,FC1=C(C(F)(F)F)C=C(N=[N+]=[N-])C=C1,1.079676290186639,c1ccccc1
727,O[C@H](C1=CC=CC=C1)[C@@H](N=[N+]=[N-])C2=CC=CC=C2,-0.9100360108327934,c1ccc(CCc2ccccc2)cc1
728,OC(C1=C(Cl)C=C(N=[N+]=[N-])C=C1)=O,0.9134625340122554,c1ccccc1
729,OC[C@@H](N=[N+]=[N-])[C@H](O)C1=CC=C([N+]([O-])=O)C=C1,-1.89819616215613,c1ccccc1
730,OC(C1=CC(C(O)=O)=CC(N=[N+]=[N-])=C1)=O,0.9434894271693738,c1ccccc1
731,CC1=CC=C(C(N=[N+]=[N-])=C1)O,-1.084312956142577,c1ccccc1
732,O=C(C(C=C1)=CC=C1CN=[N+]=[N-])O,0.0671842172785723,c1ccccc1
733,CC(C1=CC=CC(N=[N+]=[N-])=C1)=O,0.3559673502498858,c1ccccc1
734,OC(C1=CC=C(N=[N+]=[N-])C=C1)=O,0.9995474532771182,c1ccccc1
735,OC1=CC=C(C(C)(C)C)C=C1N=[N+]=[N-],-0.4073452821317617,c1ccccc1
736,O[C@H]([C@H](N=[N+]=[N-])C1=CC=CC=C1)C2=CC=CC=C2,-1.070853492633048,c1ccc(CCc2ccccc2)cc1
737,ClC1=CC=C(N=[N+]=[N-])C(C)=C1,0.7441674987505323,c1ccccc1
738,[N-]=[N+]=NCCN1CCCCC1,0.562115326394498,C1CCNCC1
739,N#CC1=CC=CC(N=[N+]=[N-])=C1,0.8928055659945066,c1ccccc1
740,[N-]=[N+]=NCCC1=CC=CN=C1,-1.824610385889412,c1ccncc1
741,O=C(C1=CC=C(C=C1)OC)CN=[N+]=[N-],0.6180996725065259,c1ccccc1
742,[N-]=[N+]=NCCN1CCNCC1,-1.101869885080599,C1CNCCN1
743,[N-]=[N+]=NCCC1CCOCC1,0.5532495149147716,C1CCOCC1
744,FC(F)(F)C1=CC=CC(N=[N+]=[N-])=C1,1.051470642865319,c1ccccc1
745,[N-]=[N+]=NC1=CC=CC=C1C2=CC=CC=C2,0.4854460576449284,c1ccc(-c2ccccc2)cc1
746,OC(CN=[N+]=[N-])COC1=CC=CC=C1,-2.129436218074907,c1ccccc1
747,O=S(NC(C1=CC=CC=C1)=O)(C2=CC=C(C=C2)N=[N+]=[N-])=O,0.2761097269127072,O=C(NS(=O)(=O)c1ccccc1)c1ccccc1
748,O=S(NC(C)=O)(C1=CC=C(C=C1)N=[N+]=[N-])=O,0.8313945082139337,c1ccccc1
749,O=S(NC1=NC=CC=N1)(C2=CC=C(C=C2)N=[N+]=[N-])=O,0.6833222226023395,O=S(=O)(Nc1ncccn1)c1ccccc1
750,COC1=NC(OC)=NC(NS(=O)(C2=CC=C(C=C2)N=[N+]=[N-])=O)=C1,0.6052796988098699,O=S(=O)(Nc1ccncn1)c1ccccc1
751,COC1=C(NS(=O)(C2=CC=C(C=C2)N=[N+]=[N-])=O)N=CN=C1OC,0.5195524273542486,O=S(=O)(Nc1ccncn1)c1ccccc1
752,O=S(NC1=NN=C(C)S1)(C2=CC=C(C=C2)N=[N+]=[N-])=O,0.4360755309933881,O=S(=O)(Nc1nncs1)c1ccccc1
753,O=S(NC1=CC(OC)=NC=N1)(C2=CC=C(C=C2)N=[N+]=[N-])=O,0.4146326768733954,O=S(=O)(Nc1ccncn1)c1ccccc1
754,CCOC(C1=CC=C(C=C1)N=[N+]=[N-])=O,1.063297947012655,c1ccccc1
755,O=C(OC(C)(C)C)[C@H](N=[N+]=[N-])C1=CC=CC=C1,1.17205015035844,c1ccccc1
756,COC1=CN=C(NS(=O)(C2=CC=C(C=C2)N=[N+]=[N-])=O)N=C1,0.3577377760960404,O=S(=O)(Nc1ncccn1)c1ccccc1
757,CC(CO)(N=[N+]=[N-])C,0.6883770676203362,
758,C[C@@H](N=[N+]=[N-])C1=CC=CC=C1,0.7623981727056621,c1ccccc1
759,CCOC(CC(C)(C)N=[N+]=[N-])=O,1.099927767371067,
760,BrC1=CC=C(NN=C2N=[N+]=[N-])C2=C1,-1.000929105561036,c1ccc2[nH]ncc2c1
761,O=C(OC(C)(C)C)N1CCC[C@@H](CN=[N+]=[N-])C1,-1.100699635598897,C1CCNCC1
762,C[C@H](N=[N+]=[N-])C1CC1,1.171503015929652,C1CC1
763,O[C@@H]1CCCC[C@H]1N=[N+]=[N-],0.3123587875913553,C1CCCCC1
764,O=C(O)C1=CC(N=[N+]=[N-])=CC(C(F)(F)F)=C1,0.8457714081023332,c1ccccc1
765,O=C(C(C(C)C)N=[N+]=[N-])OCC,1.171274102982293,
766,O=C1CCC2=C(N1)C=C(N=[N+]=[N-])C=C2,-0.268644073689345,O=C1CCc2ccccc2N1
767,O=S(C1=CC=C(N=[N+]=[N-])C=C1)(NC2=NOC(C)=C2)=O,0.4153028448563147,O=S(=O)(Nc1ccon1)c1ccccc1
768,CC(N=[N+]=[N-])C1=NC=CS1,0.4059737208076741,c1cscn1
769,FC1=CC(CN=[N+]=[N-])=CC(C(F)(F)F)=C1,0.607799645649945,c1ccccc1
770,[N-]=[N+]=NCC1=NOC=C1,0.3078039486772065,c1cnoc1
771,FC(F)(OC1=C(CN=[N+]=[N-])C=CC=C1)F,1.079961796774105,c1ccccc1
772,[N-]=[N+]=NCCOC1CCCC1,1.067562214023763,C1CCCC1
773,FC(OC1=C2CN=[N+]=[N-])(OC1=CC=C2)F,0.3731471315628516,c1ccc2c(c1)OCO2
774,ClC1=C(F)C=CC(CN=[N+]=[N-])=C1,1.031659797597342,c1ccccc1
775,CC1(C)CC1N=[N+]=[N-],1.227759472238608,C1CC1
776,CC(C)(C)OC(C(C)(C)N=[N+]=[N-])=O,1.204094197443956,
777,CC[C@H](N=[N+]=[N-])C(OC(C)(C)C)=O,0.7988867927971748,
778,FC(F)CN=[N+]=[N-],0.9874080415125271,
779,FC(F)(F)OC1=CC=CC(CN=[N+]=[N-])=C1,0.987263004676523,c1ccccc1
780,COC[C@H](C)N=[N+]=[N-],0.9959864809951032,
781,O=C(OCC)C(N=[N+]=[N-])C1=CC=CC=C1,1.195453458264033,c1ccccc1
782,[N-]=[N+]=NC1CCC1,1.107365817968517,C1CCC1
